TL_r3_1 1-th Error Data(Design-Set)
Theta, R, Z, 
0.0,-0.2,0.0,
0.0,-0.369084743374,-1.22974070656,
0.0,-0.108521951772,-1.96822205598,
0.0,-0.260089062282,-2.00953502597,
0.0,-0.499998217743,-1.42999502459,
0.0,-0.463748050761,-0.605351056659,
0.0,-0.317074117658,0.73475126201,
0.0,-0.141749599592,0.678763292636,
0.0,-0.732169564136,-0.567209832893,
0.0,-0.761623563416,-2.42178039913,
0.0,-0.771702463749,-4.30400895303,
0.0,-0.289668114301,-5.95924965135,
0.0,0.310527449238,-6.95368831982,
0.0,0.646620167,-7.50326010661,
0.0,-0.0470603517061,-8.06738310994,
0.0,-0.702079449821,-8.9381680934,
0.0,-1.41192887238,-9.31129671991,
0.0,-1.51975618324,-9.98121007861,
0.0,-1.5091673389,-10.634701069,
0.0,-0.511339287219,-11.7597515467,
0.0,0.402318321393,-13.2564606531,
0.0,1.01225890874,-14.8534961108,
0.0,1.04844977792,-15.6988682665,
0.0,0.235856531574,-16.3601449024,
0.0,-0.989233229705,-16.7603323513,
0.0,-1.74599101956,-17.3172211011,
0.0,-1.93496533801,-17.5008119882,
0.0,-1.568819962,-18.386732313,
0.0,-0.606517892669,-19.2622562591,
0.0,0.824564364877,-19.6602712828,
0.0,1.14055622426,-20.0122904784,
0.0,1.09205241606,-21.1645972059,
0.0,0.784709577635,-23.0679219732,
0.0,0.146494173779,-24.7137441617,
0.0,0.300976858,-25.3300737679,
0.0,0.330186128606,-24.0123785464,
0.0,-0.18089389377,-22.4596930134,
0.0,-0.858318281839,-20.827611947,
0.0,-0.66486179355,-19.5641288139,
0.0,-0.500113224241,-20.0025709626,
-0.000203076209109,-0.540390873612,-20.3897572832,
