Node ID,X,Y,Z,R, Theta(Deg.),Theta(turn.), 
1000001,54.2,-4.14619780738e-18,0.0,54.2,0.0,0.0,
1000002,53.3315718944,7.02176169486,0.546317502802,53.791836723,7.50055658374,0.0208348793993,
1000003,51.9143313703,13.9500251291,1.12382374725,53.7559392322,15.0407920921,0.0417799780335,
1000004,49.812092717,20.6973173215,1.73596551317,53.9409262541,22.5632699068,0.0626757497412,
1000005,46.897181214,27.1302179442,2.38247311848,54.1792795404,30.0495632519,0.0834710090331,
1000006,43.0983535741,33.0794934277,3.05674528929,54.3297429244,37.5074995251,0.104187498681,
1000007,38.4475929186,38.3874617207,3.74585596283,54.330604806,44.9551602693,0.124875445193,
1000008,33.080711175,42.9717611738,4.43476081219,54.23011811,52.4100448652,0.145583457959,
1000009,27.1637084977,46.8242716684,5.11100621326,54.1329795654,59.8811113275,0.166336420354,
1000010,20.8220305106,49.9338396563,5.76468022407,54.1012504237,67.3642356696,0.18712287686,
1000011,14.1522682933,52.2664115679,6.38630828522,54.1485408485,74.8492187585,0.207914496551,
1000012,7.24287151127,53.7609401338,6.96509948643,54.2466392673,82.3271015884,0.228686393301,
1000013,0.193107739217,54.3297426558,7.48763972827,54.3300858425,89.7963507406,0.249434307613,
1000014,-6.87022060479,53.890762532,7.94094690197,54.3269198229,97.2651175022,0.270180881951,
1000015,-13.8076004873,52.4697406808,8.32724770156,54.2560919928,104.743332025,0.29095370007,
1000016,-20.4957706163,50.1325527326,8.65504002331,54.1604048788,112.236294065,0.311767483515,
1000017,-26.8266036697,46.9470157137,8.9339515409,54.0711471016,119.744639835,0.332623999541,
1000018,-32.6994279957,42.9773962692,9.17393724834,54.0028627142,127.265756123,0.35351598923,
1000019,-38.013368482,38.2847597876,9.38490757065,53.9512651876,134.796200625,0.374433890626,
1000020,-42.6702050286,32.9385631013,9.57323031887,53.9045020046,142.334244835,0.395372902321,
1000021,-46.6062826548,27.0402815984,9.7306180547,53.8824870605,149.878321686,0.41632867135,
1000022,-49.7736369157,20.6949204394,9.845041617,53.9044957662,157.423398822,0.437287218949,
1000023,-52.1258070944,14.0037402554,9.90450348388,53.9741095933,164.962397253,0.458228881258,
1000024,-53.6144532878,7.06911795929,9.89687311338,54.0784802862,172.488822093,0.479135616926,
1000025,-54.1899885507,0.000788696768403,9.81002049515,54.1899885564,179.999166101,0.499997683614,
1000026,-53.419670991,-9.86809877617,9.56168179881,54.3234813156,190.4661381,0.529072605834,
1000027,-50.9094443708,-19.4435219394,9.26978184184,54.4960739096,200.903040429,0.558064001191,
1000028,-46.7801324591,-28.4426054391,9.06473805643,54.748174372,211.299856102,0.586944044729,
1000029,-41.1385872252,-36.5807090865,9.07602569221,55.0502646329,221.643711107,0.615676975298,
1000030,-34.1173426861,-43.5532267526,9.42524586343,55.3251898553,231.926689509,0.644240804192,
1000031,-25.9850291277,-49.1584204827,10.1455384125,55.6037053003,242.13917176,0.672608810444,
1000032,-17.0522726194,-53.2998170723,11.2162355889,55.9611517164,252.258906006,0.700719183351,
1000033,-7.59713522515,-55.8928542683,12.6197736009,56.4068047481,262.25961029,0.728498917473,
1000034,2.10924900087,-56.8433454154,14.3406864627,56.8824652187,272.125062217,0.755902950602,
1000035,11.7824776299,-56.1169490979,16.3384676782,57.340550705,281.857743468,0.782938176299,
1000036,21.1685162924,-53.8301129727,18.5278563751,57.842779538,291.467071374,0.809630753815,
1000037,30.0614212443,-50.1194887254,20.8272299694,58.4435813184,300.95512136,0.835986448223,
1000038,38.2818006931,-45.1080009335,23.163284629,59.1627248571,310.320262766,0.862000729905,
1000039,45.6572409434,-38.9080804225,25.467646269,59.9868516654,319.563105624,0.887675293399,
1000040,52.0404480592,-31.6673723251,27.7002174177,60.918229654,328.678876925,0.912996880348,
1000041,57.3198942883,-23.5639553631,29.8509545311,61.9744324183,337.652652719,0.937924035331,
1000042,61.3908854722,-14.7695041907,31.9118554855,63.1425298281,346.472774235,0.962424372876,
1000043,64.1504565259,-5.45855723595,33.8733165335,64.3822717802,355.13642202,0.986490061167,
1000044,65.5055373792,4.17908239831,35.7230950002,65.6387092883,3.65037415602,1.01013992821,
1000045,65.4442995879,13.9334647666,37.4584045193,66.9111185749,12.0191383629,1.03338649545,
1000046,64.0333228422,23.6040634707,39.0911896453,68.2452800312,20.2349741048,1.0562082614,
1000047,61.3304083742,33.0112065034,40.6344468091,69.6502602016,28.2914416729,1.07858733798,
1000048,57.3811525565,41.979788057,42.0993907838,71.0978148329,36.1890312358,1.10052508677,
1000049,52.2288819077,50.3270498338,43.4942850008,72.5304629125,43.937609352,1.12204891487,
1000050,45.9432813058,57.8689810423,44.8255771142,73.889133599,51.5532727606,1.14320353545,
1000051,38.6844200918,64.4906064753,46.1091130855,75.2032092492,59.0427398102,1.16400761058,
1000052,30.62870622,70.1230388972,47.3659581558,76.5203125248,66.4050062078,1.18445835058,
1000053,21.934100594,74.7102652512,48.6173110529,77.8635248545,73.638349434,1.20455097065,
1000054,12.7458957598,78.1998652961,49.883354533,79.2317915426,80.74269206,1.22428525572,
1000055,3.20450083318,80.5399255522,51.182499049,80.6036502495,87.7215327919,1.24367092442,
1000056,-6.54624266267,81.6856956955,52.5298972711,81.9475818695,94.5818574263,1.26272738174,
1000057,-16.3569924729,81.6496167913,53.9310479753,83.2719107798,101.328195868,1.28146721074,
1000058,-26.0889635629,80.4714945164,55.3873770656,84.5948902091,107.962761879,1.29989656078,
1000059,-35.6114152591,78.1798389862,56.9010033568,85.9084403343,114.489567555,1.31802657654,
1000060,-44.7912904416,74.7940634015,58.4736861297,87.1803396388,120.915771357,1.33587714266,
1000061,-53.4870570343,70.3306626464,60.1058198255,88.358742513,127.253292307,1.35348136752,
