Node ID,X,Y,Z,R, Theta(Deg.),Theta(turn.), 
1000001,54.2,-4.14620110509e-18,5.53548286361e-17,54.2,0.0,0.0,
1000002,53.3315718822,7.02176167581,0.546317787182,53.7918367083,7.50055656532,0.0208348793481,
1000003,51.914331345,13.9500250898,1.12382429851,53.7559391975,15.0407920585,0.0417799779404,
1000004,49.8120926767,20.6973172609,1.73596629455,53.9409261936,22.5632698638,0.0626757496218,
1000005,46.8971811634,27.1302178673,2.38247406805,54.1792794581,30.0495632083,0.0834710089118,
1000006,43.0983535354,33.0794933556,3.05674631798,54.3297428497,37.5074994896,0.104187498582,
1000007,38.4475929325,38.387461706,3.7458569614,54.3306048055,44.9551602481,0.124875445134,
1000008,33.080711283,42.9717612991,4.43476167411,54.2301182752,52.4100448555,0.145583457932,
1000009,27.1637087155,46.8242720075,5.11100687435,54.132979968,59.8811113083,0.166336420301,
1000010,20.8220308247,49.9338402486,5.76468066209,54.1012510912,67.3642356041,0.187122876678,
1000011,14.1522686679,52.2664124023,6.38630851329,54.1485417519,74.8492186067,0.20791449613,
1000012,7.24287190381,53.7609411319,6.9650995497,54.2466403089,82.3271013183,0.228686392551,
1000013,0.193108123175,54.3297436565,7.48763970293,54.3300868445,89.7963503394,0.249434306498,
1000014,-6.87022020767,53.8907633039,7.94094688638,54.3269205384,97.2651169838,0.270180880511,
1000015,-13.8076000037,52.4697410424,8.32724778188,54.2560922194,104.743331434,0.290953698428,
1000016,-20.4957699621,50.132552616,8.65504026747,54.1604045234,112.236293471,0.311767481865,
1000017,-26.8266027972,46.9470151701,8.93395200086,54.0711461966,119.744639318,0.332623998105,
1000018,-32.6994269339,42.9773954489,9.17393796112,54.0028614184,127.265755753,0.353515988203,
1000019,-38.0133673641,38.2847589042,9.38490855839,53.9512637731,134.796200444,0.374433890122,
1000020,-42.6702040774,32.9385623626,9.57323157489,53.9045008003,142.334244839,0.395372902331,
1000021,-46.6062820636,27.0402810974,9.73061948286,53.8824862977,149.878321832,0.416328671754,
1000022,-49.7736367889,20.6949201643,9.84504301355,53.9044955435,157.42339904,0.437287219555,
1000023,-52.1258074366,14.0037401384,9.90450453641,53.9741098933,164.962397467,0.458228881853,
1000024,-53.6144540194,7.0691179238,9.89687340147,54.078481007,172.488822232,0.479135617311,
1000025,-54.1899895507,0.00078869635409,9.81001949532,54.1899895564,179.999166101,0.499997683615,
1000026,-53.4196722514,-9.86809873733,9.56167815279,54.323482548,190.466137819,0.529072605052,
1000027,-50.909445965,-19.4435219098,9.26977530328,54.4960753882,200.903039802,0.558063999449,
1000028,-46.7801344052,-28.4426055261,9.06472929405,54.7481760799,211.299855122,0.586944042006,
1000029,-41.1385892379,-36.5807092129,9.07601632819,55.050266221,221.643709814,0.615676971704,
1000030,-34.1173441914,-43.5532262435,9.42523843367,55.3251903828,231.926687957,0.64424079988,
1000031,-25.9850298188,-49.1584182676,10.1455349516,55.603703665,242.139170063,0.672608805732,
1000032,-17.0522727918,-53.2998125931,11.2162366505,55.9611475027,252.258904441,0.700719179002,
1000033,-7.59713544545,-55.892848139,12.6197782587,56.4067987042,262.25960923,0.728498914527,
1000034,2.10924856496,-56.8433397471,14.3406924044,56.8824595382,272.12506199,0.755902949971,
1000035,11.782477794,-56.1169467055,16.3384721494,57.3405483974,281.857744119,0.782938178109,
1000036,21.1685183371,-53.8301153778,18.527857893,57.8427825245,291.467072386,0.809630756629,
1000037,30.0614259928,-50.1194956806,20.8272283554,58.4435897255,300.955121845,0.83598644957,
1000038,38.2818077647,-45.1080106909,23.1632807431,59.1627368723,310.320261873,0.862000727425,
1000039,45.6572483281,-38.9080903778,25.4676417408,59.9868637432,319.563102961,0.887675286003,
1000040,52.040453033,-31.6673804576,27.7002137625,60.9182381305,328.678872823,0.912996868952,
1000041,57.3198949244,-23.5639611055,29.8509524969,61.9744351901,337.652648033,0.937924022313,
1000042,61.390881205,-14.7695080528,31.9118551825,63.1425265827,346.472769922,0.962424360896,
1000043,64.1504483669,-5.45856019265,33.8733175669,64.3822639013,355.136418783,0.986490052174,
1000044,65.5055277255,4.1790795923,35.7230965851,65.6386994755,3.65037224814,1.01013992291,
1000045,65.444290937,13.9334620432,37.4584058532,66.9111095466,12.0191376246,1.0333864934,
1000046,64.0333166416,23.6040612466,39.0911902487,68.2452734441,20.2349741533,1.05620826154,
1000047,61.3304050446,33.0112052657,40.6344464785,69.6502566831,28.2914420745,1.0785873391,
1000048,57.3811517037,41.9797880576,42.0993895485,71.097814145,36.189031642,1.10052508789,
1000049,52.2288826282,50.3270509107,43.4942830976,72.5304641785,43.9376095697,1.12204891547,
1000050,45.943282613,57.8689826473,44.8255749377,73.8891356688,51.5532727406,1.14320353539,
1000051,38.6844214037,64.4906080712,46.109110989,75.2032112927,59.0427395785,1.16400760994,
1000052,30.6287073353,70.1230401484,47.3659563853,76.5203141178,66.4050058175,1.18445834949,
1000053,21.9341015195,74.7102660307,48.617309756,77.8635258632,73.6383489421,1.20455096928,
1000054,12.7458965824,78.199865632,49.8833537666,79.2317920065,80.742691512,1.2242852542,
1000055,3.2045016308,80.5399255404,51.1824987886,80.6036502694,87.721532225,1.24367092285,
1000056,-6.54624185021,81.6856953883,52.5298974247,81.9475814983,94.5818568772,1.26272738021,
1000057,-16.3569916216,81.6496161445,53.9310484403,83.2719099784,101.328195381,1.28146720939,
1000058,-26.0889626338,80.4714934517,55.3873777582,84.5948889098,107.962761503,1.29989655973,
1000059,-35.6114141986,78.1798374507,56.9010042104,85.9084384972,114.489567336,1.31802657593,
1000060,-44.7912892022,74.7940614124,58.473687093,87.1803372955,120.91577133,1.33587714258,
1000061,-53.4870556165,70.3306603193,60.1058208647,88.3587398024,127.253292488,1.35348136802,
1000062,-61.5437110851,64.8140723125,61.7947461951,89.3783661959,133.517415641,1.37088171011,
1000063,-68.8036108309,58.2977878881,63.5334601592,90.1807570162,139.725156922,1.3881254359,
1000064,-75.1756356024,50.9196154257,65.3131720508,90.7974857764,145.888565119,1.40524601422,
1000065,-80.6131707471,42.8352827862,67.1282872281,91.2871554452,152.015240077,1.42226455577,
1000066,-85.0725551454,34.1795158075,68.9759959405,91.6819444591,158.111267553,1.43919796542,
1000067,-88.5031779448,25.0733257238,70.8547829445,91.9863259902,164.182349022,1.45606208062,
1000068,-90.8424419814,15.6336996371,72.7630135032,92.1778814547,170.235228236,1.47287563399,
1000069,-92.0150382549,5.98546304935,74.6972086372,92.2095061963,176.278224723,1.48966173534,
1000070,-91.9398175804,-3.72920888716,76.6506505232,92.0154174889,182.322724515,1.50645201254,
1000071,-90.6034671107,-13.3497081262,78.6146568255,91.58167371,188.381774312,1.52328270642,
