 Design Data  
 X , Y, Z, R, Theta, 
54.2,0.0,0.0,54.2,0.0,
38.41,38.41,3.75,54.33,0.125,
0.0,54.33,7.5,54.33,0.25,
-38.15,38.15,9.39,53.95,0.375,
-54.19,0.0,9.81,54.19,0.5,
-38.99,-38.99,9.19,55.14,0.625,
0.0,-56.78,13.97,56.78,0.75,
42.13,-42.13,24.33,59.58,0.875,
65.1,0.0,34.93,65.1,1.0,
51.42,51.42,43.68,72.72,1.125,
0.0,81.05,51.63,81.05,1.25,
-63.34,63.34,62.21,89.57,1.375,
-92.09,0.0,75.9,92.09,1.5,
-61.12,-61.12,90.42,86.44,1.625,
0.0,-76.02,103.94,76.02,1.75,
48.15,-48.15,114.91,68.09,1.875,
65.71,0.0,124.7,65.71,2.0,
49.97,49.97,134.08,70.67,2.125,
0.0,80.85,144.2,80.85,2.25,
-64.39,64.39,155.89,91.06,2.375,
-94.02,0.0,168.57,94.02,2.5,
-61.89,-61.89,180.75,87.53,2.625,
0.0,-76.73,191.77,76.73,2.75,
48.21,-48.21,201.65,68.18,2.875,
65.57,0.0,211.45,65.57,3.0,
49.57,49.57,222.33,70.1,3.125,
0.0,79.24,235.88,79.24,3.25,
-62.08,62.08,251.43,87.79,3.375,
-90.33,0.0,265.02,90.33,3.5,
-61.22,-61.22,274.36,86.58,3.625,
0.0,-79.27,280.38,79.27,3.75,
50.94,-50.94,286.1,72.04,3.875,
66.1,0.0,294.61,66.1,4.0,
44.14,44.14,307.85,62.42,4.125,
0.0,60.51,324.25,60.51,4.25,
-40.75,40.75,337.56,57.62,4.375,
-55.78,0.0,342.93,55.78,4.5,
-39.09,-39.09,341.85,55.29,4.625,
0.0,-56.02,337.15,56.02,4.75,
39.69,-39.69,333.19,56.13,4.875,
55.58,0.0,332.59,55.58,4.965,
