Intial Conditioner-Prog. Used,
THETA(TURN),R
0,0.389
0.125,0.64
0.25,0.526
0.375,0.012
0.5,0.33
0.625,0.82
0.75,0.967
0.875,1.003
1,0.607
1.125,-0.395
1.25,-1.194
1.375,-1.222
1.5,-0.645
1.625,0.363
1.75,1.396
1.875,1.966
2,1.254
2.125,-0.193
2.25,-1.375
2.375,-1.701
2.5,-1.45
2.625,-0.149
2.75,0.704
2.875,1.582
3,1.759
3.125,0.817
3.25,-0.593
3.375,-1.459
3.5,-1.412
3.625,-0.617
3.75,0.368
3.875,1.193
4,1.362
4.125,0.974
4.25,0.17
4.375,-0.526
4.5,-0.599
4.625,-0.094
4.75,0.467
4.875,0.64
5,0.965
5.125,0.535
5.26,0.606
