Intial Conditioner-Prog. Used,
THETA(TURN),Z
0,0
0.125,0.408
0.25,0.387
0.375,0.999
0.5,0.793
0.625,-0.011
0.75,-0.341
0.875,0.391
1,1.508
1.125,2.942
1.25,3.99
1.375,4.559
1.5,4.536
1.625,4.461
1.75,4.577
1.875,5.261
2,6.405
2.125,7.633
2.25,8.86
2.375,10.023
2.5,10.816
2.625,10.89
2.75,11.189
2.875,11.48
3,12.242
3.125,12.399
3.25,13.18
3.375,14.016
3.5,14.733
3.625,14.974
3.75,15.435
3.875,16.273
4,17.501
4.125,18.049
4.25,18.511
4.375,18.773
4.5,18.739
4.625,19.33
4.75,20.08
4.875,20.781
5,21.46
5.125,21.205
5.26,21.395
