 Design Data + Initial Conditioner 
 X , Y, Z, R, Theta, 
54.4,0.0,0.0,54.4,0.0,
38.6787409309,38.6787409309,4.98,54.7,0.125,
-5.62972497554e-12,54.44,9.47,54.44,0.25,
-38.3322586081,38.3322586081,11.4,54.21,0.375,
-54.69,-1.13111557279e-11,11.24,54.69,0.5,
-39.3222081018,-39.3222081018,9.76,55.61,0.625,
1.77397566179e-11,-57.1,13.2,57.1,0.75,
42.2142748369,-42.2142748368,23.65,59.7,0.875,
65.8399958873,0.0232714179994,35.51,65.84,1.0,
51.946906763,51.9836414438,46.11,73.49,1.125,
-0.0289231490802,81.8299948885,55.93,81.83,1.25,
-63.5842907794,63.5393584015,68.17,89.89,1.375,
-91.7999942657,-0.0324470864763,82.86,91.8,1.5,
-60.6412454919,-60.6841284455,97.93,85.79,1.625,
0.0268837189336,-76.0599952489,112.02,76.06,1.75,
48.6449179765,-48.6105426329,123.86,68.77,1.875,
67.1099832319,0.0474406064515,134.02,67.11,2.0,
51.002874851,51.0750345759,144.07,72.18,2.125,
-0.0582350940254,82.3799794166,154.84,82.38,2.25,
-64.816752108,64.7251778381,167.66,91.6,2.375,
-93.6399766031,-0.0661948798899,181.84,93.64,2.5,
-61.1426816411,-61.2291873352,195.62,86.53,2.625,
0.0534917403034,-75.6699810931,207.48,75.67,2.75,
48.0677071037,-47.9997961849,218.02,67.93,2.875,
66.5399625923,0.0705564958572,228.22,66.54,3.0,
50.7517213085,50.8594660237,239.66,71.85,3.125,
-0.0860908010098,81.1899543563,253.4,81.19,3.25,
-63.2611061732,63.1270888426,269.84,89.37,3.375,
-90.9599488637,-0.0964505389903,284.31,90.96,3.5,
-60.5771415368,-60.705745389,294.04,85.76,3.625,
0.082835489299,-78.1199560822,300.4,78.12,3.75,
50.2153169064,-50.1089368076,307.27,70.94,3.875,
65.2999347367,0.0923221823052,317.68,65.3,4.0,
43.9692427646,44.0937477507,332.58,62.27,4.125,
-0.0851399972256,60.2199398138,349.63,60.22,4.25,
-40.560299842,40.4457720501,361.64,57.28,4.375,
-55.9599440714,-0.0791171412335,365.39,55.96,4.5,
-39.6478718682,-39.7601402955,362.68,56.15,4.625,
0.0801492268917,-56.6899433418,356.7,56.69,4.75,
40.1071121343,-39.9938639825,353.18,56.64,4.875,
54.7857021583,-12.1647539649,352.98,56.12,4.965,
