Node ID,X,Y,Z,R, Theta(Deg.),Theta(turn.), 
1000001,54.1992412362,-3.82904768781e-07,-4.27508423662e-07,54.1992412362,0.0,0.0,
1000002,53.3260169297,7.02177919875,0.541238368958,53.7863315788,7.5013475048,0.0208370764022,
1000003,51.9060051341,13.9501223637,1.11368108044,53.7479235221,15.0431955348,0.0417866542634,
1000004,49.8031508914,20.6980028527,1.7208798613,53.932932062,22.5675873783,0.0626877427175,
1000005,46.8894728197,27.1321920421,2.36271166258,54.1735960253,30.0554529293,0.0834873692482,
1000006,43.0926054284,33.0834494479,3.0327826478,54.3275921607,37.5145002478,0.104206945133,
1000007,38.4430730506,38.3932039991,3.71831703384,54.3314639862,44.9628133235,0.124896703676,
1000008,33.0758252497,42.9778057501,4.40429391053,54.2319278934,52.4180307233,0.145605640898,
1000009,27.1576609419,46.8293201307,5.07823446227,54.1343123327,59.8893291181,0.16635924755,
1000010,20.8149314771,49.9375237474,5.73025239418,54.101919101,67.3726762754,0.187146322987,
1000011,14.1445794239,52.2692999907,6.3509526335,54.1493199274,74.8578704064,0.207938528907,
1000012,7.23505246174,53.7643603568,6.92965652035,54.2489855085,82.3357681472,0.228710467076,
1000013,0.185295782627,54.3354174776,7.45307456019,54.3357334265,89.804609486,0.249457248572,
1000014,-6.87827046232,53.8989618104,7.90811416861,54.3360717093,97.272444325,0.270201234236,
1000015,-13.8158720096,52.4787286331,8.29668858456,54.2668893372,104.749362679,0.290970451885,
1000016,-20.5037698163,50.1405805157,8.62719242653,54.1708629351,112.240912322,0.311780312005,
1000017,-26.8336087895,46.9529129468,8.90921179081,54.0797429252,119.747983874,0.332633288538,
1000018,-32.704886458,42.9808592208,9.15270081393,54.00892387,127.268140057,0.353522611269,
1000019,-38.0173476689,38.2863997018,9.36759110032,53.9552326091,134.79797215,0.374438811526,
1000020,-42.6734107975,32.9394032074,9.5603248934,53.9075530213,142.335620038,0.395376722329,
1000021,-46.6092535824,27.0408472683,9.72260385634,53.8853406827,149.879386723,0.416331629785,
1000022,-49.7765043299,20.6953058948,9.84227908802,53.9072914306,157.424190582,0.437289418284,
1000023,-52.1282389834,14.0038139802,9.90723649788,53.9764773351,164.962991436,0.458230531767,
1000024,-53.6157354752,7.06874210939,9.90524077202,54.0797023434,172.489394452,0.479137206812,
1000025,-54.1892694303,7.33100081374e-06,9.82408014927,54.1892694303,179.999992222,0.499999978394,
1000026,-53.4156493929,-9.86826354372,9.58370611995,54.3195565651,190.467079572,0.529075221034,
1000027,-50.9035070138,-19.4428681751,9.29948049836,54.4902940823,200.904625689,0.558068404692,
1000028,-46.7746386301,-28.4417385179,9.10128968323,54.7430297745,211.302068041,0.586950189002,
1000029,-41.1356076009,-36.5809370852,9.11804782087,55.0481895318,221.645949236,0.615683192321,
1000030,-34.1175028635,-43.5556279368,9.47110875559,55.3271789143,231.92809235,0.644244700972,
1000031,-25.9870307534,-49.1620810945,10.1941850168,55.6078770042,242.139111061,0.672608641836,
1000032,-17.0546586645,-53.3023700037,11.2668469133,55.9643103252,252.257375794,0.700714932761,
1000033,-7.59933256656,-55.8919831128,12.6713505006,56.4062375251,262.257279451,0.72849244292,
1000034,2.10696745134,-56.8387566748,14.3917176151,56.8777950714,272.122936886,0.755897046905,
1000035,11.7799657974,-56.1102344127,16.3873552701,57.3334631785,281.856665694,0.782935182485,
1000036,21.1661131467,-53.8228206912,18.5733592317,57.8351136672,291.467499638,0.809631943438,
1000037,30.0594580904,-50.1120655756,20.8685137291,58.4362057028,300.957214377,0.835992262159,
1000038,38.2798709325,-45.0995366841,23.1998486821,59.1550228444,310.324142418,0.862011506718,
1000039,45.6536634022,-38.8966469636,25.4989780571,59.9767132065,319.569202173,0.887692228259,
1000040,52.0331055282,-31.6512392326,27.7246265777,60.9035714541,328.688251691,0.913022921364,
1000041,57.3098872901,-23.5445284022,29.8671819001,61.9577920756,337.66575007,0.93796041686,
