TL_r3_4 4-th Conditioner Data  
Theta, R, Z, 
0.0,-0.0246542310476,0.0,
0.125,0.00931644474578,0.902122669779,
0.25,-0.064337708219,1.42572438633,
0.375,-0.0913915096594,1.25956999843,
0.499998877942,-0.0240903807257,0.530473308207,
0.625,0.0527264565374,-0.403697580642,
0.75,0.184891312665,-0.932960662954,
0.875,0.361696646095,-0.713355194637,
1.0,0.234763107757,0.157956296559,
1.125,-0.330306784058,1.27999283007,
1.25,-0.916898664036,2.14146795351,
1.375,-0.9985372282,2.40882258763,
1.5,-0.327649062547,2.33908705588,
1.625,0.585430667789,2.56516982369,
1.75,0.96984616899,3.15781206277,
1.875,0.654990804463,3.7027830356,
2.0,0.00446214432123,3.98816060335,
2.125,-0.646859241909,3.95164168068,
2.25,-0.990087618021,3.70675106715,
2.375,-0.620422643263,3.58819008172,
2.5,0.194256934999,4.05281189297,
2.625,0.689263844748,4.98471119839,
2.75,0.460540872614,5.76516468616,
2.875,-0.108597093233,6.05357852509,
3.0,-0.574340511978,5.91517668638,
3.125,-0.725671546691,5.53618864064,
3.25,-0.36963467075,5.25630736237,
3.375,0.305563480377,5.51934018345,
3.5,0.602717982819,6.27004064878,
3.625,0.303809222596,6.91795032817,
3.75,-0.236416754715,7.10277177022,
3.875,-0.620925555646,6.96477681815,
4.0,-0.599234345333,6.91976900986,
4.125,-0.241617059826,7.24857836453,
4.25,0.0639952130882,7.99869231813,
4.375,-0.00261627252068,8.64729498634,
4.5,-0.0791877159074,8.71810998646,
4.625,-0.0427662964683,8.40480349954,
4.75,0.0070588911467,7.78503523283,
4.875,-0.0519100243512,7.24195718909,
4.96551224939,-0.0827909998773,7.11091252172,
