Node ID,X,Y,Z,R, Theta(Deg.),Theta(turn.), 
1000001,54.1753463745,0.0,0.0,54.1753463745,0.0,0.0,
1000002,53.3189811707,7.00964546204,0.699767827988,53.7777731278,7.48950924754,0.0208041923543,
1000003,51.915927887,13.9262742996,1.43126475811,53.7513226278,15.0159007906,0.0417108355295,
1000004,49.8299942017,20.6631011963,2.19676804543,53.9443423649,22.5224141423,0.0625622615065,
1000005,46.9329071045,27.0872135162,2.99383091927,54.1886972103,29.9912890881,0.0833091363558,
1000006,43.1518669128,33.0297012329,3.81268334389,54.3419247138,37.431500145,0.103976389292,
1000007,38.5168914795,38.3322067261,4.63691949844,54.340675389,44.8623063017,0.124617517505,
1000008,33.1626167297,42.9110679626,5.44903564453,54.2320836964,52.3023619059,0.145284338628,
1000009,27.2557945251,46.7582893372,6.23558616638,54.122231633,59.7617364124,0.166004823368,
1000010,20.9227695465,49.8636817932,6.9858622551,54.0754015008,67.2371093994,0.186769748332,
1000011,14.2604026794,52.1942253113,7.68929004669,54.1072660594,74.7187136445,0.207551982346,
1000012,7.35697031021,53.6897735596,8.33345890045,54.1914826981,82.1975004808,0.228326390224,
1000013,0.311149865389,54.2632408142,8.90271091461,54.2641328863,89.6714649101,0.249087402528,
1000014,-6.75092411041,53.8311576843,9.38153362274,54.252820332,97.1481016902,0.269855838028,
1000015,-13.6894521713,52.416847229,9.77170372009,54.1749663053,104.636727876,0.290657577434,
1000016,-20.3805198669,50.085647583,10.0824871063,54.0734471239,112.142065069,0.311505736303,
1000017,-26.7155704498,46.9054718018,10.3244686127,53.9800425102,119.664191562,0.332400532118,
1000018,-32.5939178467,42.9410247803,10.5085725784,53.9100648282,127.199920435,0.353333112321,
1000019,-37.9151382446,38.2538642883,10.6456375122,53.8601507712,134.745205476,0.374292237432,
1000020,-42.5815162659,32.9135284424,10.7431974411,53.8190104148,142.297647606,0.395271243351,
1000021,-46.5290679932,27.0210189819,10.7948703766,53.8060371625,149.854801286,0.416263336907,
1000022,-49.7092399597,20.6810283661,10.7905769348,53.8397016304,157.410739529,0.437252054248,
1000023,-52.0749015808,13.9947042465,10.7201976776,53.9226030677,164.957635933,0.45821565537,
1000024,-53.5771102905,7.06455230713,10.573515892,54.040860896,172.488445726,0.479134571462,
1000025,-54.1659011841,0.000645650259685,10.3404979706,54.1659011879,179.999317042,0.499998102896,
1000026,-53.413898468,-9.86146068573,9.88082122803,54.3165992714,190.460358539,0.529056551496,
1000027,-50.922794342,-19.4324054718,9.37572193146,54.5045811471,200.88711675,0.55801976875,
1000028,-46.8133926392,-28.4327964783,8.9618806839,54.7715039593,211.273012878,0.586869480216,
1000029,-41.1911849976,-36.5814437866,8.77496147156,55.090069441,221.607931707,0.615577588076,
1000030,-34.1860809326,-43.5760002136,8.94365978241,55.385520889,231.885238939,0.64412566372,
1000031,-26.0641155243,-49.2128944397,9.50740146637,55.6888417656,242.093426719,0.672481740885,
1000032,-17.1356506348,-53.3931121826,10.4492702484,56.0754398219,252.206812171,0.700574478251,
1000033,-7.67958545685,-56.0312919617,11.7545642853,56.5551210032,262.19573097,0.728321474917,
1000034,2.03220295906,-57.0345726013,13.4104576111,57.0707659024,272.04064675,0.755668463194,
1000035,11.715388298,-56.3692131042,15.3783359528,57.573765805,281.740817158,0.782613380994,
1000036,21.1158599854,-54.1491699219,17.5720157623,58.1206688378,291.303656269,0.809176822968,
1000037,30.0270137787,-50.5076255798,19.908372879,58.7591847984,300.731676413,0.835365767815,
1000038,38.2680511475,-45.5640106201,22.3126888275,59.5022924131,310.026043498,0.861183454162,
1000039,45.6645927429,-39.4277496338,24.7149868011,60.3307754928,319.191998108,0.88664443919,
1000040,52.0683479309,-32.2454605103,27.0713253021,61.2444493793,328.230438684,0.911751218568,
1000041,57.3707504272,-24.1980781555,29.3684749603,62.2651587247,337.130749614,0.936474304484,
1000042,61.4699516296,-15.4581022263,31.5959339142,63.3838140047,345.884291372,0.960789698255,
1000043,64.2638244629,-6.19896173477,33.7415885925,64.5621116537,354.490230635,0.984695085099,
1000044,65.6562194824,3.39241933823,35.790184021,65.7438032494,2.95780986987,1.00821613853,
1000045,65.6246032715,13.1070308685,37.7330360413,66.9207203542,11.2949131461,1.03137475874,
1000046,64.237159729,22.7423534393,39.5770149231,68.1441657812,19.4958644475,1.05415517902,
1000047,61.5569496155,32.1183052063,41.3315124512,69.4322949015,27.5540083798,1.07653891217,
1000048,57.6340560913,41.0613975525,43.0047492981,70.7652654238,35.4679813852,1.09852217051,
1000049,52.5140533447,49.3916015625,44.6021652222,72.0919975004,43.2449712637,1.12012492018,
1000050,46.2621688843,56.9239845276,46.1267700195,73.3520843901,50.8992110501,1.14138669736,
1000051,39.0303726196,63.5366897583,47.5907897949,74.567291303,58.4377352471,1.16232704235,
1000052,30.9963989258,69.1595458984,49.0134849548,75.7879907059,65.8587048951,1.18294084693,
1000053,22.3204402924,73.7373886108,50.4149398804,77.0415766583,73.1588416204,1.2032190045,
1000054,13.1494903564,77.2200546265,51.8146095276,78.3316406898,80.3360319021,1.22315564417,
1000055,3.62496328354,79.5583724976,53.2303199768,79.6409128104,87.3912041989,1.242753345,
1000056,-6.11036634445,80.7092056274,54.6771202087,80.9401782175,94.3295135615,1.26202642656,
1000057,-15.9082450867,80.6813201904,56.1618728638,82.2347109766,101.154148682,1.28098374634,
1000058,-25.6300487518,79.512260437,57.6876602173,83.5410016628,107.866250844,1.29962847457,
1000059,-35.1445388794,77.229309082,59.2579612732,84.8498956648,114.468733178,1.31796870327,
1000060,-44.3187713623,73.8512420654,60.8757514954,86.1287376528,120.968334902,1.33602315251,
1000061,-53.0109062195,69.3948440552,62.542350769,87.3258298538,127.376305897,1.35382307194,
1000062,-61.0665817261,63.8854827881,64.2559432983,88.37693316,133.707634464,1.37141009573,
1000063,-68.3305358887,57.3787727356,66.0105285645,89.2265974667,139.979022527,1.38883061813,
1000064,-74.7139205933,50.0133895874,67.7994308472,89.9083370352,146.201705612,1.40611584892,
1000065,-80.1684036255,41.9422798157,69.6194000244,90.4772224153,152.382461841,1.42328461623,
1000066,-84.6475906372,33.2979888916,71.4696578979,90.96136908,158.526714931,1.44035198592,
1000067,-88.0978088379,24.2003746033,73.350402832,91.3612721725,164.639786739,1.45733274094,
1000068,-90.453742981,14.7659978867,75.2615432739,91.6510464362,170.728607602,1.47424613223,
1000069,-91.638092041,5.12069511414,77.200843811,91.7810515922,176.801663962,1.49111573323,
1000070,-91.5708389282,-4.59145402908,79.1625900269,91.685876732,182.870464099,1.50797351139,
1000071,-90.2499771118,-14.2107248306,81.1394882202,91.3619344634,188.948299635,1.52485638787,
1000072,-87.7575378418,-23.5930366516,83.1288070679,90.8736310846,195.047792674,1.54179942409,
1000073,-84.1737136841,-32.6129302979,85.131729126,90.270799808,201.178755063,1.55882987518,
1000074,-79.567527771,-41.151802063,87.1516494751,89.5793630733,207.347708006,1.57596585557,
1000075,-73.9959945679,-49.0887374878,89.1932449341,88.7981495316,213.560185092,1.59322273637,
1000076,-67.5093460083,-56.2890014648,91.2607498169,87.8974600565,219.821201485,1.61061444857,
1000077,-60.1606407166,-62.5964508057,93.3561706543,86.819458331,226.136743499,1.62815762083,
1000078,-52.0430488586,-67.8691940308,95.473526001,85.5260570405,232.518503842,1.64588473289,
1000079,-43.3172302246,-72.0575561523,97.5972671509,84.0754056367,238.987918501,1.66385532917,
1000080,-34.1419334412,-75.1446533203,99.7152328491,82.5372070144,245.565352185,1.68212597829,
1000081,-24.6617012024,-77.120765686,101.819343567,80.9679690137,252.266747979,1.70074096661,
1000082,-15.0109395981,-77.9716033936,103.904067993,79.4033956666,259.102851649,1.71973014347,
1000083,-5.32257556915,-77.6704788208,105.964736938,77.8526370198,266.079783572,1.73911050992,
